hospital name,latitude,longitude
恩和安老院,22.43726,114.097332
观塘广荫老人院,22.315779,114.226385
延年老人院有限公司,22.372775,114.141227
念慈安老院,22.273496,114.185159
善衡护养院(豪辉商业中心第2座店),22.367915,114.126207
安安护理院,22.442918,114.0357
明月安老院,22.316834,114.193745
长者之家,22.322901,114.22113
圣家安老院,22.324773,114.19197
永安老人健康中心(窝打老道),22.316248,114.180547
易超民物理治疗师,22.296678,114.177362
百乐安老院,22.327843,114.170206
欣悦护理安老院,22.283813,114.146029
东华三院梁昌纪念安老院,22.44719,114.01027
德文护理中心,22.24078,114.158808
明爱冯黄凤亭安老院,22.530357,114.158166
东华三院马李示聘安老院,22.259604,114.238087
港安护理中心(西都大厦店),22.285001,114.148985
文化村专业护理安老院,22.285503,114.144556
富泰护理安老院(服务设施大楼店),22.410179,113.987572
永安老人健康中心(第一分院),22.266918,114.199057
培康居,22.413731,114.022757
又一村老人中心,22.329175,114.180434
